BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10609,"M/S. Castlerock Fisheries Pvt., Ltd. - Mayank Aquaculture Pvt., Ltd.",India,farm,Shrimp,11/18/2015,
F10615B,Mangala Seafoods / Sunnyvale IOM 1 - P.Venketeshan,India,farm,Shrimp,5/10/2015,
F10615D,Mangala Seafoods / Sunnyvale IOM 1 - Patiel Aqua - Farm 1,India,farm,Shrimp,5/10/2015,
F10620D,Seafresh Cluster 1 - Srisuban Farm 5,Thailand,farm,Shrimp,4/10/2015,
F10620F,Seafresh Cluster 1 - Kitti Farm,Thailand,farm,Shrimp,4/10/2015,
F10625J,Satya Sea Foods IOM 1 - Nadimpalli Venkata Satyanarayana Raju Farms,India,farm,Shrimp,6/8/2015,
F10638,Industrial Pesquera Santa Priscila S.A. (IPSP-Taura1&Taurafish-Taura2) (Tropical),Ecuador,farm,"Tilapia, Shrimp",10/8/2015,
F10644,PT Permata Citra Nusa 3 - Asembakor,Indonesia,farm,Shrimp,4/10/2015,
F10647B,Wellcome Fisheries IOM 4 - Chinna Kappavaram Farm,India,farm,Shrimp,4/18/2015,
F10652D,"Blue Shell S.A. Multi Cluster Zone 2 - Ayacara 1, 2, 3",Chile,molluskfarm,Mussels,4/7/2015,
F10680,Charoen Pokphand Foods PCL. - Farm Group 2 - SR1 Farm,Thailand,farm,Shrimp,8/17/2015,
F10692,Stapimex - Green Farm,Viet Nam,farm,Shrimp,6/22/2015,
F10699B,Good Luck - Cluster 5 - Nakluea Farm 1,Thailand,farm,Shrimp,7/17/2015,
F10699D,Good Luck - Cluster 5 - Batae Farm,Thailand,farm,Shrimp,7/17/2015,
F10702C,M/S. Suryamitra Exim Pvt Ltd IOM Group 1 - Rudraraju Ranadeer Varma Farm,India,farm,Shrimp,7/18/2015,
F10708B,Thai Union Group PCL - Cluster 12 - Chanon Sithikul (TSM6),Thailand,farm,Shrimp,11/12/2015,
F10721C,Invermar S.A. - Ester,Chile,salmonfarm,Salmon,fallow,
F10730A,Pasupati Aquatics Pvt Ltd IOM - Kasturi Aqua Life Products Pvt. Ltd.,India,farm,Shrimp,8/28/2015,
F10753,Wuchuan Fuyuan Farm,China,farm,Shrimp,11/9/2014,
F10758,Thoong La Aong Farm,Thailand,farm,Shrimp,10/3/2015,
F10774,Yeyuzhu Farm Fengpo Town Wenchang City,China,farm,Tilapia,11/21/2014,
F10781D,Asvini Fisheries Private Ltd. IOM Farm 2 - S. Kannapiran 2,India,farm,Shrimp,8/16/2015,
F10787,Thong Thuan Cam Ranh Seafood Joint Stock Company,Viet Nam,farm,Shrimp,1/17/2015,
F10795B,"FALCON MARINE EXPORTS LTD,GUDUPAHI",India,farm,Shrimp,8/7/2015,
F10802C,Australis Mar S.A. - Centro Rivero 1,Chile,salmonfarm,Salmon,fallow,
F10805B,Salmones Caleta Bay S.A. (Barrio 1) Cluster - Pucheguin,Chile,salmonfarm,Trout,1/9/2015,
F10808A,Australis Mar S.A. - Centro Punta Vergara,Chile,salmonfarm,Salmon,fallow,
F10812B,"Asian Feed Co., Ltd. - Cluster 1 - Supong Praisomboon (Supong Farm)",Thailand,farm,Shrimp,3/16/2015,
F10862,Minh Hai Jostoco - Thanh Tung Shrimp Farm,Viet Nam,farm,Shrimp,8/28/2015,
F10699E,Good Luck - Cluster 5 - Chainan Farm,Thailand,farm,Shrimp,7/17/2015,
F10728,"Gain Ocean Food Co.,Ltd-Guangxi Yulin City Xin Jian Breeding Ltd. - North Branch Hanshan Reservoir Farms",China,farm,"Catfish, Tilapia",9/28/2015,
F10746,PT. Indokom Samudra Persada,Indonesia,farm,Shrimp,7/31/2015,
F10760,Mainstream Aquaculture Table Fish Pty Ltd,Australia,farm,Barramundi,1/2/2015,
F10770A,AMS - Cluster 4 - I'm Shrimp (Ranong),Thailand,farm,Shrimp,11/9/2015,
F10783,BMR Industries Private Limited,India,farm,Shrimp,3/31/2015,
F10795C,Falcon Marine Exports Ltd. IOM 1 - Farm 3 - Basudevpur,India,farm,Shrimp,8/7/2015,
F10805D,Salmones Caleta Bay S.A. (Barrio 1) Cluster - Costa Pucheguin,Chile,salmonfarm,Trout,1/9/2015,
F10808B,Australis Mar S.A. - Centro Skyring,Chile,salmonfarm,Trout,5/26/2015,
F10447,M/s Seven Seas Aqua Farms & Exports Limited,India,farm,Shrimp,5/9/2015,
F10448A,Apex Frozen Foods IOM 2 - Rajavaram Farm,India,farm,Shrimp,9/29/2015,
F10456,Charoen Pokphand Foods PCL. Farm Group 1 - Rayong 3 Farm,Thailand,farm,Shrimp,2/20/2015,
F10463,"National Aquaculture Group, (NAQUA) Shrimp Farm",Saudi Arabia,farm,Shrimp,11/20/2014,
F10494,Trout Co S.A.S,Colombia,farm,Trout,7/21/2015,
F10506,Chi Nhanh Cong Ty Co Phan Viet Uc - Bac Lieu,Viet Nam,farm,Shrimp,9/20/2015,
F10522,Huazhou Beizhuang Reservoir Aquaculture Base,China,farm,Tilapia,7/27/2015,
F10533A,Exportadora Los Fiordos - Cluster - Valverde 1,Chile,salmonfarm,Salmon,8/22/2015,
F10533AA,Exportadora Los Fiordos - Cluster - Francisco Sur,Chile,salmonfarm,Salmon,fallow,
F10533G,Exportadora Los Fiordos - Seno Melimoyu,Chile,salmonfarm,Salmon,fallow,
F10533U,Exportadora Los Fiordos - Cluster - Nueva Esperanza,Chile,salmonfarm,Salmon,12/4/2014,
F10539C,Multiexport Foods - Cluster - Pearson,Chile,salmonfarm,Salmon,fallow,
F10552A,Granja Marina Tornagaleones S.A. - Chaicas,Chile,salmonfarm,Salmon,fallow,
F10552B,Granja Marina Tornagaleones S.A. - Quillaipe,Chile,salmonfarm,Salmon,3/14/2015,
F10557,Cooke Aquaculture Pacific - Hope Island,United States,salmonfarm,Salmon,fallow,
F10570,Productos del Mar Ventisqueros S.A. - Astilleros (Sur Estero Quinupeu),Chile,salmonfarm,Salmon,fallow,
F10570D,Productos del Mar Ventisqueros S.A. - Centro Telele,Chile,salmonfarm,Salmon,fallow,
F10570E,Productos del Mar Ventisqueros S.A. - Centro Punta Pitihorno,Chile,salmonfarm,Salmon,fallow,
F10575D,Empresas AquaChile SA - Cluster - Capera (2),Chile,salmonfarm,Salmon,1/9/2015,
F10575E,Empresas AquaChile SA - Cluster - Ensenada Queten (2),Chile,salmonfarm,Salmon,1/9/2015,
F10575P,Empresas AquaChile - Cluster - Punta Porvenir,Chile,salmonfarm,Salmon,fallow,
F10582,Acuicola Selecta S.A. de CV,Mexico,farm,Shrimp,8/30/2015,
F10593A,Thai Union Group PCL-IOM 1 - TMK1,Thailand,farm,Shrimp,2/11/2015,
F10593B,Thai Union Group PCL - IOM 1-TMK2,Thailand,farm,Shrimp,2/11/2015,
F10596,Cajon - Regal Spring Farm,Honduras,farm,Tilapia,7/31/2015,
F10615C,Mangala Seafoods / Sunnyvale IOM 1 - Unnam.Venketeswerlu,India,farm,Shrimp,5/10/2015,
F10622,Wenchang Hushan He Jingli Tilapia Farm,China,farm,Tilapia,1/25/2015,
F10625A,Satya Sea Foods IOM 1 - Rao Ventaka Rama Chinna Rao 1,India,farm,Shrimp,6/8/2015,
F10625B,Satya Sea Foods IOM 1 - Rao Venkata Rama Chinna Rao Farms,India,farm,Shrimp,6/8/2015,
F10629C,Sea Wealth Frozen Food Co. IOM 1 - Chaiwat Farm,Thailand,farm,Shrimp,4/17/2015,
F10633,"Elysian Farms - Southfresh Aquaculture, LLC.",United States,farm,Catfish,1/30/2015,
F10654,Australis Mar S.A. Salmon Farms - Centro Quintana (Quintana Site),Chile,salmonfarm,Salmon,fallow,
F10658A,BMR Industries Pvt. Ltd. IOM 1 - Iskapalli Coast Liner,India,farm,Shrimp,3/31/2015,
F10658B,BMR Industries Pvt. Ltd. IOM 1 - BOB Aquabase Ltd.,India,farm,Shrimp,3/31/2015,
F10665B,Salmones Multiexport S.A. Salmon Farms- Cluster - Polla Farm,Chile,salmonfarm,Salmon,8/1/2015,
F10665F,Salmones Multiexport S.A. Salmon Farms- Angostura Farm,Chile,salmonfarm,Salmon,fallow,
F10678,Charoen Pokphand Foods PCL. - Farm Group 2 - Nakhon Farm,Thailand,farm,Shrimp,8/17/2015,
F10015,"SeaJoy Group - Aquacultura Torrecillas, S.A.",Nicaragua,farm,Shrimp,7/14/2015,
F10030,Omarsa S.A. - Cachugran Farm,Ecuador,farm,Shrimp,4/17/2015,
F10061,Minh Phu Seafood Corporation,Viet Nam,farm,Shrimp,7/6/2015,
F10068,Thai Union Group PCL. - Burapa Sarasin,Thailand,farm,Shrimp,9/21/2015,
F10112,Proceal S.A. - Farm,Colombia,farm,Tilapia,9/30/2015,
F10206,"Zhuhai Yihai Aquatic Co., Ltd.",China,farm,"Tilapia, Seabass, Red Drum",8/8/2015,
F10215B,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Srisuban Farm 3,Thailand,farm,Shrimp,10/26/2014,
F10253,Vinh Hoan Corporation-My Xuong Farm,Viet Nam,farm,Pangasius,11/14/2014,
F10267A,Cermaq Canada Ltd. - Maude Island,Canada,salmonfarm,Salmon,fallow,
F10267M,Cermaq Canada Ltd. - Saranac Island,Canada,salmonfarm,Salmon,1/14/2015,
F10267R,Cermaq Canada Ltd. - Rant Point,Canada,salmonfarm,Salmon,8/2/2015,
F10267T,Cermaq Canada Ltd. - Bedwell,Canada,salmonfarm,Salmon,fallow,
F10268C,"Grieg Seafood BC, Ltd. Module 1 - Muchalat North Site",Canada,salmonfarm,Salmon,12/5/2014,
F10268L,"Grieg Seafood BC, Ltd. Module 1 - Salten Site",Canada,salmonfarm,Salmon,5/31/2015,
F10273E,"Salmones Camanchaca, S.A. - Cahuelmo Farm",Chile,salmonfarm,Salmon,fallow,
F10273I,"Salmones Camanchaca, S.A. - Licha Farm",Chile,salmonfarm,Salmon,fallow,
F10274,"Quoc viet Seaproducts Processing Trading & Import - Export Co., Ltd. - Shrimp Farm",Viet Nam,farm,Shrimp,9/18/2015,
F10290AA,Marine Harvest Canada Inc. - Group Program - Bell Island,Canada,salmonfarm,Salmon,12/19/2014,
F10290H,Marine Harvest Canada Inc. - Group Program - Midsummer Island Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290I,Marine Harvest Canada Inc. - Group Program - Glacier Falls Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290Q,Marine Harvest Canada Inc. - Group Program - Humphrey Rock Site,Canada,salmonfarm,Salmon,12/19/2014,
F10290Z,Marine Harvest Canada Inc. - Group Program - Althorpe Point Site,Canada,salmonfarm,Salmon,12/19/2014,
F10296,Northern Harvest Sea Farms NL Ltd. - Cinq Island Cove,Canada,salmonfarm,Salmon,10/10/2015,
F10302E,Cooke Aquaculture Chile S.A. - Cluster -Punta Garrao,Chile,salmonfarm,Salmon,8/29/2015,
F10302I,Cooke Aquaculture Chile S.A. - Cluster -Erasmo 4,Chile,salmonfarm,Salmon,fallow,
F10302O,Cooke Aquaculture Chile S.A. - Cluster - Mentirosa 02,Chile,salmonfarm,Salmon,fallow,
F10328C,Salmones Blumar S.A. - 463 Ninualac 1,Chile,salmonfarm,Salmon,fallow,
F10328L,Salmones Blumar S.A. - 149 Caicura,Chile,salmonfarm,Salmon,1/23/2015,
F10363E,"Associated Farm IOM 1 of Sagar Grandhi Exports Pvt., Ltd. - Sreenatha Reddy Farms",India,farm,Shrimp,7/24/2015,
F10373C,Cultivos Yadran S.A. - Leucayec Farm,Chile,salmonfarm,Salmon,11/27/2014,
F10378,"Vietnam Fish-One Co., Ltd.",Viet Nam,farm,Shrimp,5/29/2015,
F10410W,Kelly Cove Salmon Ltd. - Limekiln (Kings Point),Canada,salmonfarm,Salmon,fallow,
F10414,TSM 11,Thailand,farm,Shrimp,6/29/2015,
F10422A,"Petuna Aquaculture Pty., Ltd. - Cluster - Table Head Central",Australia,salmonfarm,Salmon,9/14/2015,
F10426,"Sealord King Reef Pty., Ltd.",Australia,farm,Barramundi,8/14/2015,
F10432D,Charoen Pokphand Foods PCL. - Farm Group 2 - Sawee2 Farm,Thailand,farm,Shrimp,8/17/2015,
F10450A,East Asia Aquaculture Cluster 1 - Chieng Mai,Thailand,farm,Shrimp,6/24/2015,
F10457A,Prince Edward Aqua Farms - Cluster 1 - Mapleque Bay,Canada,molluskfarm,Mussels,1/8/2015,
F10482,Trang Corporation - Ngoc Thuan Hung Farm,Viet Nam,farm,Shrimp,12/16/2014,
F10710,Datun Pengyong Farm of Heng Fu Aquaculture Co; Ltd. Wuchuan City,China,farm,Tilapia,10/13/2015,
F10770E,AMS - Cluster 4 - Wanchai Farm,Thailand,farm,Shrimp,11/9/2014,
F10778B,GST Group - Cluster 1 - Juru Aquaculture Sdn.Bhd.,Malaysia,farm,Barramundi,12/19/2014,
F10803,Longwan Reservoir Farm,China,farm,Tilapia,1/2/2015,
F10702B,M/S. Suryamitra Exim Pvt Ltd IOM Group 1 - Cherukuri Satyanarayana Varma Raju Farm,India,farm,Shrimp,7/18/2015,
F10708C,Thai Union Group PCL - Cluster 12 - Shunthon Pachkaew (TSM18),Thailand,farm,Shrimp,11/12/2015,
F10721D,Invermar S.A. - Rabudo,Chile,salmonfarm,Salmon,fallow,
F10729,"Gain Ocean Food Co.,Ltd-Shikang Reservoir-Junye Aquatic Farm",China,farm,Tilapia,9/28/2015,
F10740C,Thai Union Group - Cluster 9 - Subsopa Farm,Thailand,farm,Shrimp,9/3/2015,
F10755,Devi Farm Group 1 - Devi Seafoods Ltd.,India,farm,Shrimp,11/12/2014,
F10759C,"Sea Wealth Frozen Food Co., Ltd. - Cluster 2 - Barayee 1 Farm",Thailand,farm,Shrimp,12/15/2014,
F10770D,AMS - Cluster 4 - Permsub Farm,Thailand,farm,Shrimp,11/9/2014,
F10778A,GST Group - Cluster 1 - Farmgroup Corporation Sdn.Bhd.,Malaysia,farm,Barramundi,12/19/2014,
F10788A,Cooke Aquaculture Pacific - Rich Passage - Clam Bay,United States,salmonfarm,Salmon,fallow,
F10788B,Cooke Aquaculture Pacific -Rich Passage - Orchard Rocks - Ford Ward,United States,salmonfarm,Salmon,fallow,
F10792,Camaronera Grupo Granmar S.A. Granma,Ecuador,farm,Shrimp,5/25/2015,
F10816C,AMS - Cluster 6 - Pokkrong Farm 4,Thailand,farm,Shrimp,1/3/2015,
F10486,PT. Permata Citranusa,Indonesia,farm,Shrimp,4/2/2015,
F10497,"Clear Springs Foods, Inc. - Box Canyon Trout Farm",United States,farm,Trout,5/18/2015,
F10499,"Clear Springs Foods, Inc. - Clear Lakes Complex Farms",United States,farm,Trout,5/18/2015,
F10504,Piscifactor??as de los Andes S.A,Peru,farm,Trout,3/21/2015,
F10507A,Jagadeesh Marine Exports Ltd. - Mantena Venkata Satya Bapiraju,India,farm,Shrimp,8/24/2015,
F10523,Shekhar Rao Farm - Febin Marine Foods,India,farm,Shrimp,7/12/2015,
F10525,Hainan Shenghaiyuan Agricultural - Longma Base,China,farm,Tilapia,7/20/2015,
F10527,The Fishin' Hainan BAP Group - God Bless Tilapia Bao Fang Farm,China,farm,Tilapia,4/30/2015,
F10547E,Stapimex - Sunnyvale - Hoa Nghia Farm Group 1 - Tran Van Khai,Viet Nam,farm,Shrimp,1/6/2015,
F10552E,Granja Marina Tornagaleones S.A. - Krauss,Chile,salmonfarm,Salmon,fallow,
F10553B,Seaprimexco IOM 1- Tran Minh Tan,Viet Nam,farm,Shrimp,11/21/2014,
F10572C,"DataJ AquaFarm, Inc. - Calamegatan Site",Philippines,farm,Shrimp,5/10/2015,
F10575O,Empresas AquaChile - Cluster - Cascada,Chile,salmonfarm,Salmon,fallow,
F10585,Marine Harvest Chile -Cluster - Quitralco 6-2,Chile,salmonfarm,Salmon,fallow,
F10586B,Marine Harvest - Cluster -Butan 2,Chile,salmonfarm,Salmon,5/6/2015,
F10590A,Royale Marine Impex Cluster 1 - RK Shrimp Farms,India,farm,Shrimp,11/21/2014,
F10617C,M/s. Kader Exports Ltd Cluster - K.R.Ganapathi Raju,India,farm,Shrimp,1/3/2015,
F10624,Wenchang Jinshan Xu Guolin Tilapia Farm,China,farm,Tilapia,1/25/2015,
F10625D,Satya Sea Foods IOM 1 - Kurra Raghu Farms,India,farm,Shrimp,6/8/2015,
F10625F,Satya Sea Foods IOM 1 - Godavari Fish Products,India,farm,Shrimp,6/8/2015,
F10628A,Choice Trading Corporation Pvt Ltd IOM 2 - Ananya Farm,India,farm,Shrimp,5/17/2015,
F10630A,"Freshwater Farms LLC - Cluster 1 - Tam-An Catfish, Inc",United States,farm,Catfish,3/20/2015,
F10632A,Apex Frozen Foods Pvt Ltd IOM 1 - Velangi,India,farm,Shrimp,5/5/2015,
F10639,Regal Springs - Malpaso,Mexico,farm,Tilapia,7/14/2015,
F10640,Regal Springs - Pe?±itas,Mexico,farm,Tilapia,7/14/2015,
F10665G,Salmones Multiexport S.A. Salmon Farms- Cluster - Marcacci Farm,Chile,salmonfarm,Salmon,8/1/2015,
F10666A,Geo Seafoods / Sunnyvale - IOM 1 - Mr. Datla Pruthuvi Raju,India,farm,Shrimp,6/29/2015,
F10676,Marpez LTDA,Colombia,farm,Tilapia,1/24/2015,
F10699C,Good Luck - Cluster 5 - Bangsak Farm 1,Thailand,farm,Shrimp,7/17/2015,
F10702D,M/S. Suryamitra Exim Pvt Ltd IOM Group 1 - Rudraraju Suryanarayana Raju Farm,India,farm,Shrimp,7/18/2015,
F10715B,Ventisqueros - Centro Noroeste Isla Francisco,Chile,salmonfarm,Salmon,fallow,
F10721B,Invermar S.A. - Traiguen 2,Chile,salmonfarm,Salmon,6/19/2015,
F10725,"Gaozhou Ise Agriculture Co., Ltd.",China,farm,Tilapia,10/13/2015,
F10747,N.S.R. Aqua Farms Pvt. Ltd.,India,farm,Shrimp,6/16/2015,
F10756,Golden Prawns Pvt. Ltd.,India,farm,Shrimp,11/22/2014,
F10770B,AMS - Cluster 4 - Ku-Rod Farm,Thailand,farm,Shrimp,11/9/2015,
F10781C,Asvini Fisheries Private Ltd. IOM Farm 2 - S. Ravutha Thevar,India,farm,Shrimp,8/16/2015,
F10785,"Hainan Danzhou Xiangtai Farm Co., Ltd.",China,farm,Pompano,8/24/2015,
F10799A,AMS - Cluster 5 - I Shrimp Farm 1,Thailand,farm,Shrimp,12/1/2014,
F10802B,Australis Mar S.A. - Centro Matilde 2,Chile,salmonfarm,Salmon,fallow,
F10821,Gayatri Bio Solution India Pvt. Ltd. (M/s Srikanth International),India,farm,Shrimp,3/16/2015,
F10828,ChenWenHuan Aquaculture Farm,China,farm,Tilapia,3/29/2016,
F10290AD,Marine Harvest Canada Inc. - Group Program - Shelter Passage,Canada,salmonfarm,Salmon,12/19/2014,
F10959,Regal Springs Indonesia ‚Äì Lake Toba Farm,Indonesia,farm,Tilapia,7/5/2015,
F10539H,Salmones Multiexport S.A. - Cluster - Ganso,Chile,salmonfarm,Salmon,fallow,
F10539I,Salmones Multiexport S.A. - Cluster - Puyuhuapi,Chile,salmonfarm,Salmon,3/25/2015,
F10539J,Salmones Multiexport S.A. - Cluster - May,Chile,salmonfarm,Salmon,3/25/2015,
F10539K,Salmones Multiexport S.A. - Cluster - Cholga,Chile,salmonfarm,Salmon,fallow,
F10823,Centro de Cultivos Pucara,Chile,farm,Trout,4/1/2015,
F10822,Centro de Cultivos Llallalca,Chile,farm,Trout,4/1/2015,
F10810,Fujian Jianlong Aquatic Co. Ltd.,China,farm,Shrimp,4/23/2015,
F10818A,Exportadora Los Fiordos Ltda. Cluster 3 - Cuptana 2,Chile,salmonfarm,Salmon,fallow,
F10814,Trong Nhan Seafood Limited Company - Phu Tan industrial Shrimp Farm,Viet Nam,farm,Shrimp,5/11/2015,
F10818B,Exportadora Los Fiordos Ltda. Cluster 3 - Gala 2,Chile,salmonfarm,Salmon,3/25/2015,
F10818C,Exportadora Los Fiordos Ltda. Cluster - Punta Alberto,Chile,salmonfarm,Salmon,6/12/2015,
F10315C,Productos del Mar Ventisqueros S.A - Cluster - Isla Ica,Chile,salmonfarm,Salmon,fallow,
F10818H,Exportadora Los Fiordos Ltda. Cluster 3 - Fisher,Chile,salmonfarm,Salmon,fallow,
F10775,C.P. Viet Nam Corporation - Hue 2 Farm Branch (Zone 3),Viet Nam,farm,Shrimp,2/28/2015,
F10827A,S.A. Exports IOM 1 - Mr. Ali Mohiuddin,India,farm,Shrimp,7/4/2015,
F10827B,S.A. Exports IOM 1 - Mr. Rafikul Islam,India,farm,Shrimp,7/4/2015,
F10827C,S.A. Exports IOM 1 - Mr. SK.Abdul Khayer,India,farm,Shrimp,7/4/2015,
F10827D,S.A. Exports IOM 1 - Mr. Khaden Alimallick,India,farm,Shrimp,7/4/2015,
F10827E,S.A. Exports IOM 1 - Mr. Rafikul Islam Farm 2,India,farm,Shrimp,7/4/2015,
F10704,Leizhou Longmen Reservoir Tilapia Farm,China,farm,Tilapia,5/21/2015,
F10585E,Marine Harvest Chile - Cluster - Vicu?±a 5,Chile,salmonfarm,Salmon,fallow,
F10585B,Marine Harvest Chile - Cluster - Punta Cola,Chile,salmonfarm,Salmon,fallow,
F10585C,Marine Harvest Chile - Cluster - Quitralco 7,Chile,salmonfarm,Salmon,fallow,
F10585D,Marine Harvest Chile - Cluster - Rodado Notable,Chile,salmonfarm,Salmon,fallow,
F10652G,"Blue Shell S.A. Multi Cluster Zone 3 - Punta San Juan, Quetalco, Quiquel (Sur Punta Chocomo) and Tegal",Chile,molluskfarm,Mussels,4/7/2015,
F10782,"Pacifico Aquaculture, S.A.P.I. de C.V.",Mexico,farm,Striped Bass,4/5/2015,
F10800A,Beaver Street - Marine Gold - Thai Shrimp Farm Group 2 - Happy Farm 8,Thailand,farm,Shrimp,10/10/2015,
F10800B,Beaver Street - Marine Gold - Thai Shrimp Farm Group 2 - Happy Farm 9,Thailand,farm,Shrimp,10/10/2015,
F10801A,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - SIA Farm 1,Thailand,farm,Shrimp,10/26/2014,
F10801B,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - SIA Farm 2,Thailand,farm,Shrimp,10/26/2014,
F10815A,Panca Mitra IOM 1 - Kampe Mandiri,Indonesia,farm,Shrimp,4/17/2015,
F10815C,Panca Mitra IOM 1 - Empang Kuningan,Indonesia,farm,Shrimp,4/17/2015,
F10815B,Panca Mitra IOM 1 - Karya Bersama Sukses,Indonesia,farm,Shrimp,4/17/2015,
F10833,Rasheed Al Ballaa Farm For Aquaculture,Saudi Arabia,farm,Tilapia,11/12/2014,
F10834,Australis Mar S.A. - Centro Williams,Chile,salmonfarm,Salmon,fallow,
F10835,TK Farm,Thailand,farm,Shrimp,11/8/2014,
F10422C,"Petuna Aquaculture Pty., Ltd. - Cluster - Table Head",Australia,salmonfarm,Salmon,6/28/2015,
F10422D,"Petuna Aquaculture Pty., Ltd. - Cluster - Bryans Bay",Australia,salmonfarm,Salmon,6/27/2015,
F10450F,East Asia Aquaculture Cluster 1 - Burapa Danyid 1,Thailand,farm,Shrimp,6/24/2015,
F10373P,Cultivos Yadran S.A. - Palvitad,Chile,salmonfarm,Salmon,fallow,
F10373Q,Cultivos Yadran S.A. - Punta Queilen,Chile,salmonfarm,Salmon,fallow,
F10837,Juree 14,Thailand,farm,Shrimp,7/24/2015,
F10856,JAZADCO SHRIMP FARM PROJECT - Farm,Saudi Arabia,farm,Shrimp,8/19/2015,
F10840,PT Dua Lima Satu Dua,Indonesia,farm,Shrimp,6/3/2015,
F10841,Juree 31,Thailand,farm,Shrimp,7/24/2015,
F10842,Granja Marina Tornagaleones - Melimoyu,Chile,salmonfarm,Salmon,fallow,
F10846,Invermar S.A. - Nayahu?©,Chile,salmonfarm,Salmon,fallow,
F10845,Invermar S.A. - Chulin,Chile,salmonfarm,Salmon,fallow,
F10868,Invermar S.A. - Mapue,Chile,salmonfarm,Salmon,fallow,
F10867,Auchac - Invermar S.A.,Chile,salmonfarm,Salmon,fallow,
F10847,Nekkanti Seafoods Ltd. - Pedapudi,India,farm,Shrimp,9/19/2015,
F10851,Oro del Pacifico S.A. Tecojate,Guatemala,farm,Shrimp,9/23/2015,
F10450G,East Asia Aquaculture Cluster 1 - Burapa Danyid 2,Thailand,farm,Shrimp,6/24/2015,
F10962,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Thanakorn Farm 1,Thailand,farm,Shrimp,10/26/2014,
F10963,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Yodpinij Farm 1,Thailand,farm,Shrimp,10/26/2014,
F10844A,Australis Mar S.A. - Centro Humos 1,Chile,salmonfarm,Salmon,fallow,
F10844B,Australis Mar S.A. - Centro Humos 2,Chile,salmonfarm,Salmon,fallow,
F10964,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - C.V. Farm 2,Thailand,farm,Shrimp,10/26/2014,
F10965,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - C.V. Farm 9,Thailand,farm,Shrimp,10/26/2014,
F10966,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Sor Alai Farm 2,Thailand,farm,Shrimp,10/26/2014,
F10967,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Somchoke Farm,Thailand,farm,Shrimp,10/26/2014,
F10968,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Sirin Farm,Thailand,farm,Shrimp,10/26/2014,
F10969,Beaver Street - Marine Gold - Thai Shrimp Farm Group 1 - Prasert Farm 1,Thailand,farm,Shrimp,10/26/2014,
F10849,M/s. K.N.C. Agro Limited,India,farm,Shrimp,7/30/2015,
F10450H,East Asia Aquaculture Cluster 1 - Burapa Danyid 3,Thailand,farm,Shrimp,6/24/2015,
F10328T,Salmones Blumar S.A. - 226 - 4.tEstero Largo Caleta Entrada,Chile,salmonfarm,Salmon,fallow,
F10328S,Salmones Blumar S.A. - 700 Victoria 1,Chile,salmonfarm,Salmon,fallow,
F10859,Sea Gold Aqua Farms(India)Pvt Ltd C/o Coastal Corporation Limited,India,farm,Shrimp,12/26/2014,
F10864,Humpty Doo Barramundi Pty Ltd,Australia,farm,Barramundi,7/14/2015,
F10585G,Marine Harvest Chile - Cluster -Pulelo,Chile,salmonfarm,Salmon,fallow,
F10585H,Marine Harvest Chile - Cluster - Lincay,Chile,salmonfarm,Salmon,fallow,
F10585F,Marine Harvest Chile - Cluster - Alao Oeste,Chile,salmonfarm,Salmon,9/3/2015,
F10585J,Marine Harvest Chile - Cluster - Playa Astillero,Chile,salmonfarm,Salmon,fallow,
F10585I,Marine Harvest Chile - Cluster - San Francisco,Chile,salmonfarm,Salmon,fallow,
F10863,Thongchai Farm,Thailand,farm,Shrimp,6/3/2015,
F10866,Maoming Changxing Farm (Reshui Base),China,farm,"Tilapia, Shrimp",6/13/2015,
F10570H,Productos del Mar Ventisqueros S.A. - Meulin,Chile,salmonfarm,Salmon,fallow,
F10570I,Productos del Mar Ventisqueros S.A. - Tambor,Chile,salmonfarm,Salmon,fallow,
F10570J,Productos del Mar Ventisqueros S.A. - Llancahue Sector 5&6,Chile,salmonfarm,Salmon,6/26/2015,
F10895,Vietnam Clean Seafood Corporation - Ton Vu Farm,Viet Nam,farm,Shrimp,12/5/2014,
F10440F,Sandhya Marines Limited IOM Farm 1 - Sajja Bujji aquaculture farms,India,farm,Shrimp,7/24/2015,
F10440G,Sandhya Marines Limited IOM Farm 1 - Priyanka aqua farms,India,farm,Shrimp,7/24/2015,
F10890,LvNankang Aquaculture,China,farm,Tilapia,8/9/2015,
F10873,UNIVERSAL COLD STORAGE PVT LTD - Chakkapalli Venkata Prabhakara Rao Farm,India,farm,Shrimp,7/25/2015,
F10885,Pisc??cola Berl??n S.A.S,Colombia,farm,Tilapia,11/16/2014,
