BAP_No,Location,Country,Facility_Type,Species,Expiration,Rating
F10268M,"Grieg Seafood BC, Ltd. Module 1 - Vantage Point - East",Canada,salmonfarm,Salmon,6/29/2015,
F10268P,"Grieg Seafood BC, Ltd. Module 1 - Alstrom Point Farm  - East",Canada,salmonfarm,Salmon,3/6/2015,
F10273C,"Salmones Camanchaca, S.A. - Marlimo",Chile,salmonfarm,Salmon,fallow,
F10273F,"Salmones Camanchaca, S.A. - Izaza Farm",Chile,salmonfarm,Salmon,fallow,
F10290AB,Marine Harvest Canada Inc. - Group Program - Ghi- Ya (Bull Harbour),Canada,salmonfarm,Salmon,12/19/2014,
F10290C,Marine Harvest Canada Inc. - Group Program - Port Elizabeth,Canada,salmonfarm,Salmon,12/19/2014,
F10290F,Marine Harvest Canada Inc. - Group - Mahatta West Site,Canada,salmonfarm,Salmon,fallow,
F10290J,Marine Harvest Canada Inc. - Group Program - Marsh Bay,Canada,salmonfarm,Salmon,12/19/2014,
F10296J,Northern Harvest Sea Farms NL Ltd. - Spoon Cove,Canada,salmonfarm,Salmon,10/10/2015,
F10296O,Northern Harvest Sea Farms NL Ltd. - Cluster - Rencontre Island,Canada,salmonfarm,Salmon,fallow,
F10311C,Mount Cook Alpine Salmon Ltd. - Ruataniwha,New Zealand,farm,Salmon,8/23/2015,
F10313G,Good Luck - Cluster 4 - Wittaya Farm,Thailand,farm,Shrimp,1/7/2015,
F10328A,Salmones Blumar S.A. - 467 Chivato 1,Chile,salmonfarm,Salmon,fallow,
F10328G,Salmones Blumar S.A. - 770 Level 2,Chile,salmonfarm,Salmon,fallow,
F10328O,Salmones Blumar S.A. - 741 Jorge,Chile,salmonfarm,Salmon,fallow,
F10354,"Bien Dong Seafood Co., Ltd - Pangasius Farm",Viet Nam,farm,Pangasius,4/10/2015,
F10358,Falcon Marine Exports LTD.,India,farm,Shrimp,5/20/2015,
F10363C,"Associated Farm IOM 1 of Sagar Grandhi Exports Pvt., Ltd.  - Mr. Ranganayakulu",India,farm,Shrimp,7/24/2015,
F10377,Tana Farm - SAO TA FOODS JOINT STOCK COMPANY,Viet Nam,farm,Shrimp,5/23/2015,
F10380,The Fishin' Hainan BAP Farms Group- Hainan New Ocean Fisheries Farm,China,farm,Tilapia,4/30/2015,
F10388C,Thai Union Group PCL_IOM Group 2 - Saeng-Ngern Farm,Thailand,farm,Shrimp,4/4/2015,
F10393,C.P. Vietnam Corporation - Hue 2 Farm Branch (zone 1 and 2),Viet Nam,farm,Shrimp,2/18/2015,
F10409C,Wellcome Fisheries Limited IOM 1 - Petchetti Trimurthulu,India,farm,Shrimp,4/7/2015,
F10413B,Choice Canning Company IOM Farm 1 - Siva Prasad Farm B,India,farm,Shrimp,5/5/2015,
F10415,"Van Diemen Aquaculture Pty., Ltd.",Australia,salmonfarm,Salmon,4/15/2015,
F10422B,"Petuna Aquaculture Pty., Ltd. - Cluster - Liberty",Australia,salmonfarm,ocean trout,6/28/2015,
F10448B,Apex Frozen Foods IOM 2 - Siripuram 1 Farm,India,farm,Shrimp,9/29/2015,
F10450D,East Asia Aquaculture Cluster 1 - Titae,Thailand,farm,Shrimp,6/24/2015,
F10450E,East Asia Aquaculture Cluster 1 - Tanun,Thailand,farm,Shrimp,6/24/2015,
F10457D,Prince Edward Aqua Farms - Cluster 1 - Hillsborough Bay,Canada,molluskfarm,Mussels,1/8/2015,
F10457E,Prince Edward Aqua Farms - Cluster 1 - St Peter's Bay,Canada,molluskfarm,Mussels,1/8/2015,
F10471,Dingan Liaoshangyi Reservoir Tilapia Farm,China,farm,Tilapia,12/14/2014,
F10473,CAI GA Island,Viet Nam,farm,Pangasius,1/21/2015,
F10500,"Clear Springs Foods, Inc. - Crystal Springs Complex Farms",United States,farm,Trout,5/18/2015,
F10502A,Empresas AquaChile S.A. - Cluster - Cuervo,Chile,salmonfarm,Salmon,fallow,
F10507B,Jagadeesh Marine Exports Ltd. - Thota Sita Ramalakshmi,India,farm,Shrimp,8/24/2015,
